hgGenes	mmGenes
MLLT1	Mllt1
MLLT10	Mllt10
MLLT11	Mllt11
MLLT3	Mllt3
MLLT6	Mllt6
MLPH	Mlph
MLST8	Mlst8
MLX	Mlx
MLXIP	Mlxip
MLXIPL	Mlxipl
MLYCD	Mlycd
MMAA	Mmaa
MMAB	Mmab
MMACHC	Mmachc
MMADHC	Mmadhc
MMD	Mmd
MMD2	Mmd2
MME	Mme
MMEL1	Mmel1
MMGT1	Mmgt1
MMP1	Mmp1b
MMP10	Mmp10
MMP11	Mmp11
MMP13	Mmp13
MMP14	Mmp14
MMP15	Mmp15
MMP16	Mmp16
MMP17	Mmp17
MMP19	Mmp19
MMP2	Mmp2
MMP20	Mmp20
MMP21	Mmp21
MMP23B	Mmp23
MMP24	Mmp24
MMP25	Mmp25
MMP27	Mmp27
MMP28	Mmp28
MMP3	Mmp3
MMP7	Mmp7
MMP8	Mmp8
MMP9	Mmp9
MMRN1	Mmrn1
MMRN2	Mmrn2
MMS19	Mms19
MMS22L	Mms22l
MN1	Mn1
MNAT1	Mnat1
MND1	Mnd1
MNS1	Mns1
MNT	Mnt
MNX1	Mnx1
MOAP1	Moap1
MOB1A	Mob1a
MOB1B	Mob1b
MOB2	Mob2
MOB3A	Mob3a
MOB3B	Mob3b
MOB3C	Mob3c
MOB4	Mob4
MOBP	Mobp
MOCOS	Mocos
MOCS1	Mocs1
MOCS2	Mocs2
MOCS3	Mocs3
MOG	Mog
MOGAT1	Mogat1
MOGAT2	Mogat2
MOGS	Mogs
MOK	Mok
MON1A	Mon1a
MON1B	Mon1b
MON2	Mon2
MORC1	Morc1
MORC2	Morc2a
MORC3	Morc3
MORC4	Morc4
MORF4L1	Morf4l1
MORF4L2	Morf4l2
MORN1	Morn1
MORN2	Morn2
MORN3	Morn3
MORN4	Morn4
MORN5	Morn5
MOS	Mos
MOSPD1	Mospd1
MOSPD2	Mospd2
MOSPD3	Mospd3
MOV10	Mov10
MOV10L1	Mov10l1
MOXD1	Moxd1
MPC1	Mpc1
MPC2	Mpc2
MPDU1	Mpdu1
MPDZ	Mpdz
MPEG1	Mpeg1
MPG	Mpg
MPHOSPH10	Mphosph10
MPHOSPH6	Mphosph6
MPHOSPH8	Mphosph8
MPHOSPH9	Mphosph9
MPI	Mpi
MPL	Mpl
MPLKIP	Mplkip
MPND	Mpnd
MPO	Mpo
MPP1	Mpp1
MPP2	Mpp2
MPP3	Mpp3
MPP4	Mpp4
MPP5	Mpp5
MPP6	Mpp6
MPP7	Mpp7
MPPE1	Mppe1
MPPED1	Mpped1
MPPED2	Mpped2
MPRIP	Mprip
MPST	Mpst
MPV17	Mpv17
MPV17L	Mpv17l
MPV17L2	Mpv17l2
MPZ	Mpz
MPZL1	Mpzl1
MPZL2	Mpzl2
MPZL3	Mpzl3
MR1	Mr1
MRAP	Mrap
MRAP2	Mrap2
MRAS	Mras
MRC1	Mrc1
MRC2	Mrc2
MREG	Mreg
MRFAP1	Mrfap1
MRGBP	Mrgbp
MRGPRD	Mrgprd
MRGPRE	Mrgpre
MRGPRF	Mrgprf
MRGPRG	Mrgprg
MRGPRX1	Mrgprb2
MRGPRX2	Mrgprb1
MRGPRX2	Mrgprx2
MRGPRX3	Mrgpra1
MRGPRX3	Mrgpra2a
MRGPRX3	Mrgpra2b
MRGPRX3	Mrgpra9
MRGPRX4	Mrgprx1
MRI1	Mri1
MRM1	Mrm1
MRO	Mro
MROH1	Mroh1
MROH2A	Mroh2a
MROH2B	Mroh2b
MROH6	Mroh6
MROH7	Mroh7
MROH8	Mroh8
MROH9	Mroh9
MRPL1	Mrpl1
MRPL10	Mrpl10
MRPL11	Mrpl11
MRPL12	Mrpl12
MRPL13	Mrpl13
MRPL14	Mrpl14
MRPL15	Mrpl15
MRPL16	Mrpl16
MRPL17	Mrpl17
MRPL18	Mrpl18
MRPL19	Mrpl19
MRPL2	Mrpl2
MRPL20	Mrpl20
MRPL21	Mrpl21
MRPL22	Mrpl22
MRPL23	Mrpl23
MRPL24	Mrpl24
MRPL27	Mrpl27
MRPL28	Mrpl28
MRPL3	Mrpl3
MRPL30	Mrpl30
MRPL32	Mrpl32
MRPL33	Mrpl33
MRPL34	Mrpl34
MRPL35	Mrpl35
MRPL36	Mrpl36
MRPL37	Mrpl37
MRPL38	Mrpl38
MRPL39	Mrpl39
MRPL4	Mrpl4
MRPL40	Mrpl40
MRPL41	Mrpl41
MRPL42	Mrpl42
MRPL43	Mrpl43
MRPL44	Mrpl44
MRPL45	Mrpl45
MRPL46	Mrpl46
MRPL47	Mrpl47
MRPL48	Mrpl48
MRPL49	Mrpl49
MRPL50	Mrpl50
MRPL51	Mrpl51
MRPL52	Mrpl52
MRPL53	Mrpl53
MRPL54	Mrpl54
MRPL55	Mrpl55
MRPL9	Mrpl9
MRPS10	Mrps10
MRPS11	Mrps11
MRPS12	Mrps12
MRPS14	Mrps14
MRPS15	Mrps15
MRPS16	Mrps16
MRPS17	Mrps17
MRPS18A	Mrps18a
MRPS18B	Mrps18b
MRPS18C	Mrps18c
MRPS2	Mrps2
MRPS21	Mrps21
MRPS22	Mrps22
MRPS23	Mrps23
MRPS24	Mrps24
MRPS25	Mrps25
MRPS26	Mrps26
MRPS27	Mrps27
MRPS28	Mrps28
MRPS30	Mrps30
MRPS31	Mrps31
MRPS33	Mrps33
MRPS34	Mrps34
MRPS35	Mrps35
MRPS36	Mrps36
MRPS5	Mrps5
MRPS6	Mrps6
MRPS7	Mrps7
MRPS9	Mrps9
MRRF	Mrrf
MRS2	Mrs2
MRTO4	Mrto4
MRVI1	Mrvi1
MS4A1	Ms4a1
MS4A10	Ms4a10
MS4A12	Ms4a12
MS4A13	Ms4a13
MS4A14	Ms4a14
MS4A15	Ms4a15
MS4A18	Ms4a18
MS4A2	Ms4a2
MS4A3	Ms4a3
MS4A4A	Ms4a4a
MS4A5	Ms4a5
MS4A6A	Ms4a6b
MS4A6A	Ms4a6c
MS4A6A	Ms4a6d
MS4A6E	Ms4a6b
MS4A6E	Ms4a6c
MS4A6E	Ms4a6d
MS4A7	Ms4a7
MS4A8	Ms4a8a
MSANTD1	Msantd1
MSANTD2	Msantd2
MSANTD3	Msantd3
MSANTD4	Msantd4
MSC	Msc
MSGN1	Msgn1
MSH2	Msh2
MSH3	Msh3
MSH4	Msh4
MSH5	Msh5
MSH6	Msh6
MSI1	Msi1
MSI2	Msi2
MSL1	Msl1
MSL2	Msl2
MSL3	Msl3
MSLN	Msln
MSMB	Msmb
MSMO1	Msmo1
MSMP	Msmp
MSN	Msn
MSR1	Msr1
MSRA	Msra
MSRB1	Msrb1
MSRB2	Msrb2
MSRB3	Msrb3
MSS51	Mss51
MST1	Mst1
MST1R	Mst1r
MSTN	Mstn
MSTO1	Msto1
MSX1	Msx1
MSX2	Msx2
MT1A	Mt1
MT1B	Mt1
MT1E	Mt1
MT1F	Mt1
MT1G	Mt1
MT1H	Mt1
MT1M	Mt1
MT1X	Mt1
MT2A	Mt2
MT3	Mt3
MT4	Mt4
MTA1	Mta1
MTA2	Mta2
MTA3	Mta3
MTAP	Mtap
MTBP	Mtbp
MTCH1	Mtch1
MTCH2	Mtch2
MTCP1	Mtcp1
MTDH	Mtdh
MTF1	Mtf1
MTF2	Mtf2
MTFMT	Mtfmt
MTFP1	Mtfp1
MTFR1	Mtfr1
MTFR1L	Mtfr1l
MTFR2	Mtfr2
MTG1	Mtg1
MTG2	Mtg2
MTHFD1	Mthfd1
MTHFD1L	Mthfd1l
MTHFD2	Mthfd2
MTHFD2L	Mthfd2l
MTHFR	Mthfr
MTHFS	Mthfs
MTHFSD	Mthfsd
MTIF2	Mtif2
MTIF3	Mtif3
MTM1	Mtm1
MTMR1	Mtmr1
MTMR10	Mtmr10
MTMR11	Mtmr11
MTMR12	Mtmr12
MTMR14	Mtmr14
MTMR2	Mtmr2
MTMR3	Mtmr3
MTMR4	Mtmr4
MTMR6	Mtmr6
MTMR7	Mtmr7
MTMR9	Mtmr9
MTNR1A	Mtnr1a
MTNR1B	Mtnr1b
MTO1	Mto1
MTOR	Mtor
MTPAP	Mtpap
MTPN	Mtpn
MTR	Mtr
MTRF1	Mtrf1
MTRF1L	Mtrf1l
MTRR	Mtrr
MTSS1	Mtss1
MTTP	Mttp
MTURN	Mturn
MTUS1	Mtus1
MTUS2	Mtus2
MTX1	Mtx1
MTX2	Mtx2
MTX3	Mtx3
MUC1	Muc1
MUC13	Muc13
MUC15	Muc15
MUC16	Muc16
MUC17	Muc3
MUC2	Muc2
MUC20	Muc20
MUC3A	Muc3a
MUC4	Muc4
MUC5AC	Muc5ac
MUC5B	Muc5b
MUC6	Muc6
MUL1	Mul1
MUS81	Mus81
MUSK	Musk
MUSTN1	Mustn1
MUTYH	Mutyh
MVB12A	Mvb12a
MVB12B	Mvb12b
MVD	Mvd
MVK	Mvk
MVP	Mvp
MX1	Mx1
MX2	Mx1
MXD1	Mxd1
MXD3	Mxd3
MXD4	Mxd4
MXI1	Mxi1
MXRA7	Mxra7
MXRA8	Mxra8
MYADM	Myadm
MYADML2	Myadml2
MYB	Myb
MYBBP1A	Mybbp1a
MYBL1	Mybl1
MYBL2	Mybl2
MYBPC1	Mybpc1
MYBPC2	Mybpc2
MYBPC3	Mybpc3
MYBPH	Mybph
MYBPHL	Mybphl
MYC	Myc
MYCBP	Mycbp
MYCBP2	Mycbp2
MYCBPAP	Mycbpap
MYCL	Mycl
MYCN	Mycn
MYCT1	Myct1
MYD88	Myd88
MYEF2	Myef2
MYF5	Myf5
MYF6	Myf6
MYH1	Myh1
MYH10	Myh10
MYH11	Myh11
MYH13	Myh13
MYH14	Myh14
MYH15	Myh15
MYH2	Myh2
MYH3	Myh3
MYH4	Myh4
MYH6	Myh6
MYH7	Myh7
MYH7B	Myh7b
MYH8	Myh8
MYH9	Myh9
MYL1	Myl1
MYL10	Myl10
MYL12A	Myl12a
MYL12B	Myl12b
MYL2	Myl2
MYL3	Myl3
MYL4	Myl4
MYL6	Myl6
MYL6B	Myl6b
MYL7	Myl7
MYL9	Myl9
MYLIP	Mylip
MYLK	Mylk
MYLK2	Mylk2
MYLK3	Mylk3
MYLK4	Mylk4
MYLPF	Mylpf
MYNN	Mynn
MYO10	Myo10
MYO15A	Myo15
MYO15B	Myo15b
MYO16	Myo16
MYO18A	Myo18a
MYO18B	Myo18b
MYO19	Myo19
MYO1A	Myo1a
MYO1B	Myo1b
MYO1C	Myo1c
MYO1D	Myo1d
MYO1E	Myo1e
MYO1F	Myo1f
MYO1G	Myo1g
MYO1H	Myo1h
MYO3A	Myo3a
MYO3B	Myo3b
MYO5A	Myo5a
MYO5B	Myo5b
MYO5C	Myo5c
MYO6	Myo6
MYO7A	Myo7a
MYO7B	Myo7b
MYO9A	Myo9a
MYO9B	Myo9b
MYOC	Myoc
MYOCD	Myocd
MYOD1	Myod1
MYOF	Myof
MYOG	Myog
MYOM1	Myom1
MYOM2	Myom2
MYOM3	Myom3
MYOT	Myot
MYOZ1	Myoz1
MYOZ2	Myoz2
MYOZ3	Myoz3
MYPN	Mypn
MYPOP	Mypop
MYRF	Myrf
MYRFL	Myrfl
MYRIP	Myrip
MYSM1	Mysm1
MYT1	Myt1
MYT1L	Myt1l
MYZAP	Myzap
MZB1	Mzb1
MZF1	Mzf1
MZT1	Mzt1
MZT2A	Mzt2
N4BP1	N4bp1
N4BP2	N4bp2
N4BP2L1	N4bp2l1
N4BP2L2	N4bp2l2
N4BP3	N4bp3
N6AMT1	N6amt1
NAA10	Naa10
NAA11	Naa11
NAA15	Naa15
NAA16	Naa16
NAA20	Naa20
NAA25	Naa25
NAA30	Naa30
NAA35	Naa35
NAA38	Naa38
NAA40	Naa40
NAA50	Naa50
NAA60	Naa60
NAAA	Naaa
NAALAD2	Naalad2
NAALADL1	Naaladl1
NAALADL2	Naaladl2
NAB1	Nab1
NAB2	Nab2
NABP1	Nabp1
NABP2	Nabp2
NACA	Naca
NACAD	Nacad
NACC1	Nacc1
NACC2	Nacc2
NADK	Nadk
NADK2	Nadk2
NADSYN1	Nadsyn1
NAE1	Nae1
NAF1	Naf1
NAGA	Naga
NAGK	Nagk
NAGLU	Naglu
NAGPA	Nagpa
NAGS	Nags
NAIF1	Naif1
NAIP	Naip1
NAIP	Naip2
NAIP	Naip5
NAIP	Naip6
NALCN	Nalcn
NAMPT	Nampt
NANOG	Nanog
NANOS1	Nanos1
NANOS2	Nanos2
NANOS3	Nanos3
NANP	Nanp
NANS	Nans
NAP1L1	Nap1l1
NAP1L2	Nap1l2
NAP1L3	Nap1l3
NAP1L4	Nap1l4
NAP1L5	Nap1l5
NAPA	Napa
NAPB	Napb
NAPEPLD	Napepld
NAPG	Napg
NAPSA	Napsa
NARF	Narf
NARS2	Nars2
NASP	Nasp
NAT1	Nat1
NAT1	Nat2
NAT1	Nat3
NAT10	Nat10
NAT14	Nat14
NAT2	Nat1
NAT2	Nat2
NAT2	Nat3
NAT8	Nat8
NAT8L	Nat8l
NAT9	Nat9
NAV1	Nav1
NAV2	Nav2
NAV3	Nav3
NBAS	Nbas
NBEA	Nbea
NBEAL1	Nbeal1
NBEAL2	Nbeal2
NBL1	Nbl1
NBN	Nbn
NBR1	Nbr1
NCALD	Ncald
NCAM1	Ncam1
NCAM2	Ncam2
NCAN	Ncan
NCAPD2	Ncapd2
NCAPD3	Ncapd3
NCAPG	Ncapg
NCAPG2	Ncapg2
NCAPH	Ncaph
NCAPH2	Ncaph2
NCBP1	Ncbp1
NCBP2	Ncbp2
NCCRP1	Nccrp1
NCDN	Ncdn
NCEH1	Nceh1
NCF1	Ncf1
NCF2	Ncf2
NCF4	Ncf4
NCK1	Nck1
NCK2	Nck2
NCKAP1	Nckap1
NCKAP1L	Nckap1l
NCKAP5	Nckap5
NCKAP5L	Nckap5l
NCKIPSD	Nckipsd
NCL	Ncl
NCLN	Ncln
NCMAP	Ncmap
NCOA1	Ncoa1
NCOA2	Ncoa2
NCOA3	Ncoa3
NCOA4	Ncoa4
NCOA5	Ncoa5
NCOA6	Ncoa6
NCOA7	Ncoa7
NCOR1	Ncor1
NCOR2	Ncor2
NCR1	Ncr1
NCS1	Ncs1
NCSTN	Ncstn
NDC1	Ndc1
NDC80	Ndc80
NDE1	Nde1
NDEL1	Ndel1
NDFIP1	Ndfip1
NDFIP2	Ndfip2
NDN	Ndn
NDNF	Ndnf
NDOR1	Ndor1
NDP	Ndp
NDRG1	Ndrg1
NDRG2	Ndrg2
NDRG3	Ndrg3
NDRG4	Ndrg4
NDST1	Ndst1
NDST2	Ndst2
NDST3	Ndst3
NDST4	Ndst4
NDUFA1	Ndufa1
NDUFA10	Ndufa10
NDUFA11	Ndufa11
NDUFA12	Ndufa12
NDUFA13	Ndufa13
NDUFA2	Ndufa2
NDUFA3	Ndufa3
NDUFA4	Ndufa4
NDUFA4L2	Ndufa4l2
NDUFA5	Ndufa5
NDUFA6	Ndufa6
NDUFA7	Ndufa7
NDUFA8	Ndufa8
NDUFA9	Ndufa9
NDUFAB1	Ndufab1
NDUFAF1	Ndufaf1
NDUFAF2	Ndufaf2
NDUFAF3	Ndufaf3
NDUFAF4	Ndufaf4
NDUFAF5	Ndufaf5
NDUFAF6	Ndufaf6
NDUFAF7	Ndufaf7
NDUFB10	Ndufb10
NDUFB11	Ndufb11
NDUFB2	Ndufb2
NDUFB3	Ndufb3
NDUFB4	Ndufb4
NDUFB5	Ndufb5
NDUFB6	Ndufb6
NDUFB7	Ndufb7
NDUFB8	Ndufb8
NDUFB9	Ndufb9
NDUFC1	Ndufc1
NDUFC2	Ndufc2
NDUFS1	Ndufs1
NDUFS2	Ndufs2
NDUFS3	Ndufs3
NDUFS4	Ndufs4
NDUFS5	Ndufs5
NDUFS6	Ndufs6
NDUFS7	Ndufs7
NDUFS8	Ndufs8
NDUFV1	Ndufv1
NDUFV2	Ndufv2
NDUFV3	Ndufv3
NEAT1	Neat1
NEB	Neb
NEBL	Nebl
NECAB1	Necab1
NECAB2	Necab2
NECAB3	Necab3
NECAP1	Necap1
NECAP2	Necap2
NEDD1	Nedd1
NEDD4	Nedd4
NEDD4L	Nedd4l
NEDD8	Nedd8
NEDD9	Nedd9
NEFH	Nefh
NEFM	Nefm
NEGR1	Negr1
NEIL1	Neil1
NEIL2	Neil2
NEIL3	Neil3
NEK1	Nek1
NEK10	Nek10
NEK11	Nek11
NEK2	Nek2
NEK3	Nek3
NEK4	Nek4
NEK5	Nek5
NEK6	Nek6
NEK7	Nek7
NEK8	Nek8
NEK9	Nek9
NELFA	Nelfa
NELFB	Nelfb
NELFCD	Nelfcd
NELFE	Nelfe
NELL1	Nell1
NELL2	Nell2
NEMF	Nemf
NENF	Nenf
NEO1	Neo1
NES	Nes
NET1	Net1
NETO1	Neto1
NETO2	Neto2
NEU1	Neu1
NEU2	Neu2
NEU3	Neu3
NEU4	Neu4
NEURL1	Neurl1a
NEURL1B	Neurl1b
NEURL2	Neurl2
NEURL4	Neurl4
NEUROD1	Neurod1
NEUROD2	Neurod2
NEUROD4	Neurod4
NEUROD6	Neurod6
NEUROG1	Neurog1
NEUROG2	Neurog2
NEUROG3	Neurog3
NEXN	Nexn
NF1	Nf1
NF2	Nf2
NFAM1	Nfam1
NFASC	Nfasc
NFAT5	Nfat5
NFATC1	Nfatc1
NFATC2	Nfatc2
NFATC2IP	Nfatc2ip
NFATC3	Nfatc3
NFATC4	Nfatc4
NFE2	Nfe2
NFE2L1	Nfe2l1
NFE2L2	Nfe2l2
NFE2L3	Nfe2l3
NFIA	Nfia
NFIB	Nfib
NFIC	Nfic
NFIL3	Nfil3
NFIX	Nfix
NFKB1	Nfkb1
NFKB2	Nfkb2
NFKBIA	Nfkbia
NFKBIB	Nfkbib
NFKBID	Nfkbid
NFKBIE	Nfkbie
NFKBIL1	Nfkbil1
NFKBIZ	Nfkbiz
NFRKB	Nfrkb
NFS1	Nfs1
NFU1	Nfu1
NFX1	Nfx1
NFXL1	Nfxl1
NFYA	Nfya
NFYB	Nfyb
NFYC	Nfyc
NGB	Ngb
NGDN	Ngdn
NGEF	Ngef
NGF	Ngf
NGFR	Ngfr
NGLY1	Ngly1
NGRN	Ngrn
NHEJ1	Nhej1
NHLH1	Nhlh1
NHLH2	Nhlh2
NHLRC1	Nhlrc1
NHLRC2	Nhlrc2
NHLRC3	Nhlrc3
NHLRC4	Nhlrc4
NHP2	Nhp2
NHS	Nhs
NHSL1	Nhsl1
NHSL2	Nhsl2
NICN1	Nicn1
NID1	Nid1
NID2	Nid2
NIF3L1	Nif3l1
NIFK	Nifk
NIM1K	Nim1k
NIN	Nin
NINJ1	Ninj1
NINJ2	Ninj2
NINL	Ninl
NIP7	Nip7
NIPA1	Nipa1
NIPA2	Nipa2
NIPAL1	Nipal1
NIPAL2	Nipal2
NIPAL3	Nipal3
NIPAL4	Nipal4
NIPBL	Nipbl
NIPSNAP1	Nipsnap1
NIPSNAP3A	Nipsnap3a
NIPSNAP3A	Nipsnap3b
NIPSNAP3B	Nipsnap3a
NIPSNAP3B	Nipsnap3b
NISCH	Nisch
NIT1	Nit1
NIT2	Nit2
NKAIN1	Nkain1
NKAIN2	Nkain2
NKAIN3	Nkain3
NKAIN4	Nkain4
NKAP	Nkap
NKAPL	Nkapl
NKD1	Nkd1
NKD2	Nkd2
NKG7	Nkg7
NKIRAS1	Nkiras1
NKIRAS2	Nkiras2
NKPD1	Nkpd1
NKRF	Nkrf
NKTR	Nktr
NKX1-1	Nkx1-1
NKX1-2	Nkx1-2
NKX2-1	Nkx2-1
NKX2-2	Nkx2-2
NKX2-3	Nkx2-3
NKX2-4	Nkx2-4
NKX2-5	Nkx2-5
NKX2-6	Nkx2-6
NKX2-8	Nkx2-9
NKX3-1	Nkx3-1
NKX3-2	Nkx3-2
NKX6-1	Nkx6-1
NKX6-2	Nkx6-2
NKX6-3	Nkx6-3
NLE1	Nle1
NLGN1	Nlgn1
NLGN2	Nlgn2
NLGN3	Nlgn3
NLK	Nlk
NLN	Nln
NLRC4	Nlrc4
NLRC5	Nlrc5
NLRP1	Nlrp1a
NLRP10	Nlrp10
NLRP12	Nlrp12
NLRP14	Nlrp14
NLRP2	Nlrp2
NLRP3	Nlrp3
NLRP4	Nlrp4c
NLRP4	Nlrp4e
NLRP5	Nlrp5
NLRP6	Nlrp6
NLRP9	Nlrp9b
NLRX1	Nlrx1
NMB	Nmb
NMBR	Nmbr
NMD3	Nmd3
NME1	Nme1
NME2	Nme2
NME3	Nme3
NME4	Nme4
NME5	Nme5
NME6	Nme6
NME7	Nme7
NME8	Nme8
NME9	Nme9
NMI	Nmi
NMNAT1	Nmnat1
NMNAT2	Nmnat2
NMNAT3	Nmnat3
NMRAL1	Nmral1
NMRK1	Nmrk1
NMRK2	Nmrk2
NMS	Nms
NMT1	Nmt1
NMT2	Nmt2
NMU	Nmu
NMUR1	Nmur1
NMUR2	Nmur2
NNAT	Nnat
NNMT	Nnmt
NNT	Nnt
NOA1	Noa1
NOB1	Nob1
NOBOX	Nobox
NOC2L	Noc2l
NOC3L	Noc3l
NOC4L	Noc4l
NOD1	Nod1
NOD2	Nod2
NODAL	Nodal
NOG	Nog
NOL10	Nol10
NOL11	Nol11
NOL12	Nol12
NOL3	Nol3
NOL4	Nol4
NOL6	Nol6
NOL7	Nol7
NOL8	Nol8
NOL9	Nol9
NOLC1	Nolc1
NOM1	Nom1
NOMO1	Nomo1
NONO	Nono
NOP10	Nop10
NOP14	Nop14
NOP16	Nop16
NOP2	Nop2
NOP56	Nop56
NOP58	Nop58
NOP9	Nop9
NOS1	Nos1
NOS1AP	Nos1ap
NOS2	Nos2
NOS3	Nos3
NOSIP	Nosip
NOSTRIN	Nostrin
NOTCH1	Notch1
NOTCH2	Notch2
NOTCH3	Notch3
NOTCH4	Notch4
NOTO	Noto
NOTUM	Notum
NOVA1	Nova1
NOVA2	Nova2
NOX1	Nox1
NOX3	Nox3
NOX4	Nox4
NOXA1	Noxa1
NOXO1	Noxo1
NOXRED1	Noxred1
NPAS1	Npas1
NPAS2	Npas2
NPAS3	Npas3
NPAS4	Npas4
NPAT	Npat
NPB	Npb
NPBWR1	Npbwr1
NPC1	Npc1
NPC1L1	Npc1l1
NPC2	Npc2
NPDC1	Npdc1
NPEPL1	Npepl1
NPEPPS	Npepps
NPFF	Npff
NPFFR1	Npffr1
NPFFR2	Npffr2
NPHP1	Nphp1
NPHP3	Nphp3
NPHP4	Nphp4
NPHS1	Nphs1
NPHS2	Nphs2
NPL	Npl
NPLOC4	Nploc4
NPM1	Npm1
NPM2	Npm2
NPM3	Npm3
NPNT	Npnt
NPPA	Nppa
NPPB	Nppb
NPPC	Nppc
NPR1	Npr1
NPR2	Npr2
NPR3	Npr3
NPRL2	Nprl2
NPRL3	Nprl3
NPS	Nps
NPSR1	Npsr1
NPTN	Nptn
NPTX1	Nptx1
NPTX2	Nptx2
NPTXR	Nptxr
NPVF	Npvf
NPW	Npw
NPY	Npy
NPY1R	Npy1r
NPY2R	Npy2r
NPY4R	Npy4r
NPY5R	Npy5r
NQO1	Nqo1
NQO2	Nqo2
NR0B1	Nr0b1
NR0B2	Nr0b2
NR1D1	Nr1d1
NR1D2	Nr1d2
NR1H2	Nr1h2
NR1H3	Nr1h3
NR1H4	Nr1h4
NR1I2	Nr1i2
NR1I3	Nr1i3
NR2C1	Nr2c1
NR2C2	Nr2c2
NR2C2AP	Nr2c2ap
NR2E1	Nr2e1
NR2F1	Nr2f1
NR2F2	Nr2f2
NR2F6	Nr2f6
NR3C1	Nr3c1
NR3C2	Nr3c2
NR4A1	Nr4a1
NR4A2	Nr4a2
NR4A3	Nr4a3
NR5A1	Nr5a1
NR5A2	Nr5a2
NR6A1	Nr6a1
NRAP	Nrap
NRARP	Nrarp
NRAS	Nras
NRBF2	Nrbf2
NRBP1	Nrbp1
NRBP2	Nrbp2
NRCAM	Nrcam
NRDE2	Nrde2
NREP	Nrep
NRF1	Nrf1
NRG1	Nrg1
NRG2	Nrg2
NRG3	Nrg3
NRG4	Nrg4
NRGN	Nrgn
NRIP1	Nrip1
NRIP2	Nrip2
NRIP3	Nrip3
NRK	Nrk
NRL	Nrl
NRM	Nrm
NRN1	Nrn1
NRN1L	Nrn1l
NRP1	Nrp1
NRP2	Nrp2
NRROS	Nrros
NRSN1	Nrsn1
NRSN2	Nrsn2
NRTN	Nrtn
NRXN1	Nrxn1
NRXN2	Nrxn2
NRXN3	Nrxn3
NSA2	Nsa2
NSD1	Nsd1
NSDHL	Nsdhl
NSF	Nsf
NSFL1C	Nsfl1c
NSG1	Nsg1
NSG2	Nsg2
NSL1	Nsl1
NSMAF	Nsmaf
NSMCE1	Nsmce1
NSMCE2	Nsmce2
NSMCE4A	Nsmce4a
NSMF	Nsmf
NSRP1	Nsrp1
NSUN2	Nsun2
NSUN3	Nsun3
NSUN4	Nsun4
NSUN5	Nsun5
NSUN6	Nsun6
NSUN7	Nsun7
NT5C	Nt5c
NT5C1A	Nt5c1a
NT5C1B	Nt5c1b
NT5C2	Nt5c2
NT5C3A	Nt5c3
NT5C3B	Nt5c3b
NT5DC1	Nt5dc1
NT5DC2	Nt5dc2
NT5DC3	Nt5dc3
NT5E	Nt5e
NT5M	Nt5m
NTAN1	Ntan1
NTF3	Ntf3
NTF4	Ntf5
NTHL1	Nthl1
NTM	Ntm
NTMT1	Ntmt1
NTN1	Ntn1
NTN4	Ntn4
NTN5	Ntn5
NTNG1	Ntng1
NTNG2	Ntng2
NTPCR	Ntpcr
NTRK1	Ntrk1
NTRK2	Ntrk2
NTRK3	Ntrk3
NTS	Nts
NTSR1	Ntsr1
NTSR2	Ntsr2
NUAK1	Nuak1
NUAK2	Nuak2
NUB1	Nub1
NUBP1	Nubp1
NUBP2	Nubp2
NUBPL	Nubpl
NUCB1	Nucb1
NUCB2	Nucb2
NUCKS1	Nucks1
NUDC	Nudc
NUDCD1	Nudcd1
NUDCD2	Nudcd2
NUDCD3	Nudcd3
NUDT1	Nudt1
NUDT10	Nudt10
NUDT10	Nudt11
NUDT11	Nudt10
NUDT11	Nudt11
NUDT12	Nudt12
NUDT13	Nudt13
NUDT14	Nudt14
NUDT15	Nudt15
NUDT16	Nudt16
NUDT16L1	Nudt16l1
NUDT17	Nudt17
NUDT18	Nudt18
NUDT19	Nudt19
NUDT2	Nudt2
NUDT21	Nudt21
NUDT22	Nudt22
NUDT3	Nudt3
NUDT4	Nudt4
NUDT5	Nudt5
NUDT6	Nudt6
NUDT7	Nudt7
NUDT8	Nudt8
NUDT9	Nudt9
NUF2	Nuf2
NUFIP1	Nufip1
NUFIP2	Nufip2
NUGGC	Nuggc
NUMA1	Numa1
NUMB	Numb
NUMBL	Numbl
NUP107	Nup107
NUP133	Nup133
NUP153	Nup153
NUP155	Nup155
NUP160	Nup160
NUP188	Nup188
NUP205	Nup205
NUP210	Nup210
NUP210L	Nup210l
NUP214	Nup214
NUP35	Nup35
NUP37	Nup37
NUP43	Nup43
NUP50	Nup50
NUP54	Nup54
NUP62	Nup62
NUP62CL	Nup62cl
NUP85	Nup85
NUP88	Nup88
NUP93	Nup93
NUP98	Nup98
NUPR1	Nupr1
NUS1	Nus1
NUSAP1	Nusap1
NUTF2	Nutf2
NUTM1	Nutm1
NUTM2A	Nutm2
NUTM2B	Nutm2
NVL	Nvl
NWD1	Nwd1
NXF1	Nxf1
NXF3	Nxf3
NXF5	Nxf2
NXN	Nxn
NXNL1	Nxnl1
NXNL2	Nxnl2
NXPE2	Nxpe2
NXPE3	Nxpe3
NXPE4	Nxpe4
NXPH1	Nxph1
NXPH2	Nxph2
NXPH3	Nxph3
NXPH4	Nxph4
NXT1	Nxt1
NXT2	Nxt2
NYAP1	Nyap1
NYAP2	Nyap2
NYNRIN	Nynrin
NYX	Nyx
