hgGenes	mmGenes
ARHGEF39	Arhgef39
TPM2	Tpm2
TLN1	Tln1
CREB3	Creb3
GBA2	Gba2
RGP1	Rgp1
MSMP	Msmp
NPR2	Npr2
SPAG8	Spag8
HINT2	Hint2
TMEM8B	Tmem8b
FAM221B	Fam221b
HRCT1	Hrct1
RECK	Reck
GLIPR2	Glipr2
CCIN	Ccin
CLTA	Clta
GNE	Gne
RNF38	Rnf38
MELK	Melk
PAX5	Pax5
ZCCHC7	Zcchc7
GRHPR	Grhpr
ZBTB5	Zbtb5
POLR1E	Polr1e
FBXO10	Fbxo10
TOMM5	Tomm5
FRMPD1	Frmpd1
TRMT10B	Trmt10b
EXOSC3	Exosc3
DCAF10	Dcaf10
SLC25A51	Slc25a51
SHB	Shb
ALDH1B1	Aldh1b1
IGFBPL1	Igfbpl1
CNTNAP3	Cntnap3
PGM5	Pgm5
TMEM252	Tmem252
PIP5K1B	Pip5k1b
FAM122A	Fam122a
FXN	Fxn
TJP2	Tjp2
FAM189A2	Fam189a2
APBA1	Apba1
PTAR1	Ptar1
MAMDC2	Mamdc2
SMC5	Smc5
KLF9	Klf9
TRPM3	Trpm3
MIR204	Mir204
TMEM2	Tmem2
ABHD17B	Abhd17b
GDA	Gda
ZFAND5	Zfand5
TMC1	Tmc1
ALDH1A1	Aldh1a1
ANXA1	Anxa1
RORB	Rorb
TRPM6	Trpm6
NMRK1	Nmrk1
OSTF1	Ostf1
PCSK5	Pcsk5
RFK	Rfk
GCNT1	Gcnt1
PRUNE2	Prune2
FOXB2	Foxb2
VPS13A	Vps13a
GNA14	Gna14
GNAQ	Gnaq
CEP78	Cep78
PSAT1	Psat1
TLE4	Tle4
TLE1	Tle1
RASEF	Rasef
FRMD3	Frmd3
IDNK	Idnk
UBQLN1	Ubqln1
GKAP1	Gkap1
KIF27	Kif27
HNRNPK	Hnrnpk
MIR7-1	Mir7-1
RMI1	Rmi1
SLC28A3	Slc28a3
NTRK2	Ntrk2
AGTPBP1	Agtpbp1
NAA35	Naa35
GOLM1	Golm1
ISCA1	Isca1
ZCCHC6	Zcchc6
GAS1	Gas1
DAPK1	Dapk1
CTSL	Ctsl
CDK20	Cdk20
SPIN1	Spin1
NXNL2	Nxnl2
S1PR3	S1pr3
SHC3	Shc3
CKS2	Cks2
SECISBP2	Secisbp2
SEMA4D	Sema4d
GADD45G	Gadd45g
DIRAS2	Diras2
SYK	Syk
AUH	Auh
NFIL3	Nfil3
ROR2	Ror2
SPTLC1	Sptlc1
IARS	Iars
NOL8	Nol8
CENPP	Cenpp
OGN	Ogn
OMD	Omd
ASPN	Aspn
ECM2	Ecm2
IPPK	Ippk
BICD2	Bicd2
FGD3	Fgd3
SUSD3	Susd3
NINJ1	Ninj1
WNK2	Wnk2
FAM120AOS	Fam120aos
FAM120A	Fam120a
PHF2	Phf2
BARX1	Barx1
PTPDC1	Ptpdc1
MIRLET7D	Mirlet7d
FBP2	Fbp2
FBP1	Fbp1
MIR23B	Mir23b
MIR27B	Mir27b
FANCC	Fancc
PTCH1	Ptch1
ERCC6L2	Ercc6l2
HSD17B3	Hsd17b3
SLC35D2	Slc35d2
HABP4	Habp4
CDC14B	Cdc14b
AAED1	Aaed1
CCDC180	Ccdc180
TDRD7	Tdrd7
TMOD1	Tmod1
TSTD2	Tstd2
NCBP1	Ncbp1
XPA	Xpa
FOXE1	Foxe1
HEMGN	Hemgn
ANP32B	Anp32b
NANS	Nans
TRIM14	Trim14
CORO2A	Coro2a
TBC1D2	Tbc1d2
GABBR2	Gabbr2
ANKS6	Anks6
GALNT12	Galnt12
COL15A1	Col15a1
TGFBR1	Tgfbr1
ALG2	Alg2
SEC61B	Sec61b
NR4A3	Nr4a3
STX17	Stx17
ERP44	Erp44
INVS	Invs
TEX10	Tex10
MSANTD3	Msantd3
TMEFF1	Tmeff1
BAAT	Baat
MRPL50	Mrpl50
ALDOB	Aldob
TMEM246	Tmem246
RNF20	Rnf20
GRIN3A	Grin3a
PPP3R2	Ppp3r2
CYLC2	Cylc2
SMC2	Smc2
NIPSNAP3A	Nipsnap3a
NIPSNAP3B	Nipsnap3b
ABCA1	Abca1
SLC44A1	Slc44a1
FSD1L	Fsd1l
FKTN	Fktn
TAL2	Tal2
TMEM38B	Tmem38b
RAD23B	Rad23b
KLF4	Klf4
ACTL7B	Actl7b
ACTL7A	Actl7a
IKBKAP	Ikbkap
FAM206A	Fam206a
CTNNAL1	Ctnnal1
TMEM245	Tmem245
MIR32	Mir32
FRRS1L	Frrs1l
EPB41L4B	Epb41l4b
PTPN3	Ptpn3
PALM2	Palm2
AKAP2	Akap2
TXNDC8	Txndc8
SVEP1	Svep1
MUSK	Musk
LPAR1	Lpar1
PTGR1	Ptgr1
DNAJC25	Dnajc25
GNG10	Gng10
UGCG	Ugcg
SUSD1	Susd1
PTBP3	Ptbp3
HSDL2	Hsdl2
INIP	Inip
SNX30	Snx30
SLC46A2	Slc46a2
ZFP37	Zfp37
SLC31A2	Slc31a2
FKBP15	Fkbp15
SLC31A1	Slc31a1
CDC26	Cdc26
PRPF4	Prpf4
RNF183	Rnf183
WDR31	Wdr31
BSPRY	Bspry
HDHD3	Hdhd3
ALAD	Alad
POLE3	Pole3
RGS3	Rgs3
AMBP	Ambp
KIF12	Kif12
COL27A1	Col27a1
MIR455	Mir455
ORM1	Orm1
ORM2	Orm2
AKNA	Akna
ATP6V1G1	Atp6v1g1
TNFSF15	Tnfsf15
TNFSF8	Tnfsf8
TNC	Tnc
PAPPA	Pappa
ASTN2	Astn2
TRIM32	Trim32
TLR4	Tlr4
BRINP1	Brinp1
CDK5RAP2	Cdk5rap2
MEGF9	Megf9
FBXW2	Fbxw2
PSMD5	Psmd5
PHF19	Phf19
TRAF1	Traf1
CNTRL	Cntrl
RAB14	Rab14
GSN	Gsn
STOM	Stom
DAB2IP	Dab2ip
TTLL11	Ttll11
NDUFA8	Ndufa8
MORN5	Morn5
LHX6	Lhx6
RBM18	Rbm18
MRRF	Mrrf
PTGS1	Ptgs1
PDCL	Pdcl
RC3H2	Rc3h2
SNORD90	Snord90
ZBTB6	Zbtb6
ZBTB26	Zbtb26
RABGAP1	Rabgap1
GPR21	Gpr21
STRBP	Strbp
CRB2	Crb2
DENND1A	Dennd1a
LHX2	Lhx2
NEK6	Nek6
PSMB7	Psmb7
NR5A1	Nr5a1
NR6A1	Nr6a1
OLFML2A	Olfml2a
WDR38	Wdr38
RPL35	Rpl35
ARPC5L	Arpc5l
GOLGA1	Golga1
SCAI	Scai
PPP6C	Ppp6c
RABEPK	Rabepk
HSPA5	Hspa5
GAPVD1	Gapvd1
MAPKAP1	Mapkap1
PBX3	Pbx3
MVB12B	Mvb12b
NRON	Nron
LMX1B	Lmx1b
ZBTB43	Zbtb43
ZBTB34	Zbtb34
RALGPS1	Ralgps1
ANGPTL2	Angptl2
GARNL3	Garnl3
SLC2A8	Slc2a8
RPL12	Rpl12
SNORA65	Snora65
LRSAM1	Lrsam1
FAM129B	Fam129b
STXBP1	Stxbp1
PTRH1	Ptrh1
TTC16	Ttc16
TOR2A	Tor2a
SH2D3C	Sh2d3c
CDK9	Cdk9
MIR3960	Mir3960
FPGS	Fpgs
ENG	Eng
AK1	Ak1
ST6GALNAC6	St6galnac6
ST6GALNAC4	St6galnac4
PIP5KL1	Pip5kl1
DPM2	Dpm2
FAM102A	Fam102a
NAIF1	Naif1
SLC25A25	Slc25a25
PTGES2	Ptges2
LCN2	Lcn2
CIZ1	Ciz1
DNM1	Dnm1
MIR199B	Mir199b
GOLGA2	Golga2
SWI5	Swi5
TRUB2	Trub2
COQ4	Coq4
SLC27A4	Slc27a4
URM1	Urm1
CERCAM	Cercam
ODF2	Odf2
GLE1	Gle1
SPTAN1	Sptan1
WDR34	Wdr34
SET	Set
PKN3	Pkn3
ZDHHC12	Zdhhc12
ZER1	Zer1
TBC1D13	Tbc1d13
ENDOG	Endog
LRRC8A	Lrrc8a
PHYHD1	Phyhd1
DOLK	Dolk
NUP188	Nup188
SH3GLB2	Sh3glb2
DOLPP1	Dolpp1
CRAT	Crat
IER5L	Ier5l
NTMT1	Ntmt1
ASB6	Asb6
PRRX2	Prrx2
PTGES	Ptges
TOR1B	Tor1b
TOR1A	Tor1a
USP20	Usp20
FNBP1	Fnbp1
GPR107	Gpr107
NCS1	Ncs1
HMCN2	Hmcn2
ASS1	Ass1
FUBP3	Fubp3
PRDM12	Prdm12
EXOSC2	Exosc2
ABL1	Abl1
QRFP	Qrfp
FIBCD1	Fibcd1
LAMC3	Lamc3
AIF1L	Aif1l
NUP214	Nup214
FAM78A	Fam78a
PRRC2B	Prrc2b
POMT1	Pomt1
UCK1	Uck1
RAPGEF1	Rapgef1
MED27	Med27
NTNG2	Ntng2
SETX	Setx
TTF1	Ttf1
BARHL1	Barhl1
DDX31	Ddx31
GTF3C4	Gtf3c4
AK8	Ak8
TSC1	Tsc1
GFI1B	Gfi1b
GTF3C5	Gtf3c5
CEL	Cel
RALGDS	Ralgds
GBGT1	Gbgt1
OBP2B	Obp2b
ABO	Abo
SURF6	Surf6
MED22	Med22
RPL7A	Rpl7a
SURF1	Surf1
SURF2	Surf2
SURF4	Surf4
REXO4	Rexo4
ADAMTS13	Adamts13
CACFD1	Cacfd1
SLC2A6	Slc2a6
ADAMTSL2	Adamtsl2
FAM163B	Fam163b
DBH	Dbh
SARDH	Sardh
VAV2	Vav2
BRD3	Brd3
WDR5	Wdr5
RXRA	Rxra
COL5A1	Col5a1
OLFM1	Olfm1
PPP1R26	Ppp1r26
MRPS2	Mrps2
OBP2A	Obp2a
GLT6D1	Glt6d1
LCN9	Lcn9
SOHLH1	Sohlh1
KCNT1	Kcnt1
CAMSAP1	Camsap1
UBAC1	Ubac1
NACC2	Nacc2
LHX3	Lhx3
QSOX2	Qsox2
GPSM1	Gpsm1
DNLZ	Dnlz
CARD9	Card9
SNAPC4	Snapc4
SDCCAG3	Sdccag3
PMPCA	Pmpca
INPP5E	Inpp5e
SEC16A	Sec16a
NOTCH1	Notch1
EGFL7	Egfl7
AGPAT2	Agpat2
FAM69B	Fam69b
LCN6	Lcn6
LCN10	Lcn10
LCN8	Lcn8
TMEM141	Tmem141
CCDC183	Ccdc183
RABL6	Rabl6
PHPT1	Phpt1
MAMDC4	Mamdc4
EDF1	Edf1
TRAF2	Traf2
FBXW5	Fbxw5
C8G	C8g
LCN12	Lcn12
PTGDS	Ptgds
CLIC3	Clic3
ABCA2	Abca2
FUT7	Fut7
NPDC1	Npdc1
ENTPD2	Entpd2
SAPCD2	Sapcd2
UAP1L1	Uap1l1
MAN1B1	Man1b1
DPP7	Dpp7
GRIN1	Grin1
LRRC26	Lrrc26
TMEM210	Tmem210
ANAPC2	Anapc2
SSNA1	Ssna1
TPRN	Tprn
TMEM203	Tmem203
NDOR1	Ndor1
RNF208	Rnf208
RNF224	Rnf224
SLC34A3	Slc34a3
TUBB4B	Tubb4b
FAM166A	Fam166a
NELFB	Nelfb
TOR4A	Tor4a
NRARP	Nrarp
NOXA1	Noxa1
ENTPD8	Entpd8
NSMF	Nsmf
PNPLA7	Pnpla7
MRPL41	Mrpl41
DPH7	Dph7
ZMYND19	Zmynd19
ARRDC1	Arrdc1
EHMT1	Ehmt1
CACNA1B	Cacna1b
ZMYND11	Zmynd11
DIP2C	Dip2c
LARP4B	Larp4b
GTPBP4	Gtpbp4
IDI2	Idi2
IDI1	Idi1
WDR37	Wdr37
ADARB2	Adarb2
PFKP	Pfkp
PITRM1	Pitrm1
KLF6	Klf6
UCN3	Ucn3
TUBAL3	Tubal3
NET1	Net1
CALML3	Calml3
ASB13	Asb13
FAM208B	Fam208b
GDI2	Gdi2
ANKRD16	Ankrd16
FBXO18	Fbxo18
IL15RA	Il15ra
IL2RA	Il2ra
RBM17	Rbm17
PFKFB3	Pfkfb3
PRKCQ	Prkcq
SFMBT2	Sfmbt2
ITIH5	Itih5
ITIH2	Itih2
KIN	Kin
ATP5C1	Atp5c1
TAF3	Taf3
GATA3	Gata3
CELF2	Celf2
USP6NL	Usp6nl
ECHDC3	Echdc3
PROSER2	Proser2
UPF2	Upf2
DHTKD1	Dhtkd1
SEC61A2	Sec61a2
NUDT5	Nudt5
CDC123	Cdc123
CAMK1D	Camk1d
CCDC3	Ccdc3
OPTN	Optn
MCM10	Mcm10
UCMA	Ucma
PHYH	Phyh
SEPHS1	Sephs1
BEND7	Bend7
PRPF18	Prpf18
FRMD4A	Frmd4a
FAM107B	Fam107b
CDNF	Cdnf
HSPA14	Hspa14
SUV39H2	Suv39h2
DCLRE1C	Dclre1c
MEIG1	Meig1
OLAH	Olah
ACBD7	Acbd7
RPP38	Rpp38
NMT2	Nmt2
FAM171A1	Fam171a1
ITGA8	Itga8
PTER	Pter
C1QL3	C1ql3
RSU1	Rsu1
CUBN	Cubn
TRDMT1	Trdmt1
VIM	Vim
ST8SIA6	St8sia6
STAM	Stam
TMEM236	Tmem236
MRC1	Mrc1
SLC39A12	Slc39a12
CACNB2	Cacnb2
NSUN6	Nsun6
ARL5B	Arl5b
MALRD1	Malrd1
PLXDC2	Plxdc2
NEBL	Nebl
SKIDA1	Skida1
MLLT10	Mllt10
DNAJC1	Dnajc1
COMMD3	Commd3
BMI1	Bmi1
SPAG6	Spag6
PIP4K2A	Pip4k2a
ARMC3	Armc3
MSRB2	Msrb2
PTF1A	Ptf1a
OTUD1	Otud1
ARHGAP21	Arhgap21
ENKUR	Enkur
THNSL1	Thnsl1
GPR158	Gpr158
MYO3A	Myo3a
GAD2	Gad2
APBB1IP	Apbb1ip
PDSS1	Pdss1
ABI1	Abi1
ANKRD26	Ankrd26
YME1L1	Yme1l1
MASTL	Mastl
ACBD5	Acbd5
PTCHD3	Ptchd3
RAB18	Rab18
MKX	Mkx
ARMC4	Armc4
MPP7	Mpp7
WAC	Wac
BAMBI	Bambi
LYZL1	Lyzl1
SVIL	Svil
MTPAP	Mtpap
MAP3K8	Map3k8
ZEB1	Zeb1
ARHGAP12	Arhgap12
KIF5B	Kif5b
EPC1	Epc1
ITGB1	Itgb1
NRP1	Nrp1
PARD3	Pard3
CUL2	Cul2
CREM	Crem
CCNY	Ccny
GJD4	Gjd4
FZD8	Fzd8
BMS1	Bms1
MIR5100	Mir5100
RET	Ret
CSGALNACT2	Csgalnact2
RASGEF1A	Rasgef1a
FXYD4	Fxyd4
HNRNPF	Hnrnpf
CXCL12	Cxcl12
TMEM72	Tmem72
RASSF4	Rassf4
ALOX5	Alox5
MARCH8	March8
ZFAND4	Zfand4
SYT15	Syt15
GPRIN2	Gprin2
NPY4R	Npy4r
ANTXRL	Antxrl
ANXA8	Anxa8
RBP3	Rbp3
GDF2	Gdf2
GDF10	Gdf10
FAM25C	Fam25c
FRMPD2	Frmpd2
MAPK8	Mapk8
ARHGAP22	Arhgap22
WDFY4	Wdfy4
LRRC18	Lrrc18
VSTM4	Vstm4
FAM170B	Fam170b
ERCC6	Ercc6
CHAT	Chat
SLC18A3	Slc18a3
OGDHL	Ogdhl
PARG	Parg
MSMB	Msmb
NCOA4	Ncoa4
TIMM23	Timm23
ASAH2	Asah2
SGMS1	Sgms1
A1CF	A1cf
PRKG1	Prkg1
CSTF2T	Cstf2t
DKK1	Dkk1
MBL2	Mbl2
PCDH15	Pcdh15
ZWINT	Zwint
IPMK	Ipmk
CISD1	Cisd1
UBE2D1	Ube2d1
TFAM	Tfam
BICC1	Bicc1
PHYHIPL	Phyhipl
FAM13C	Fam13c
SLC16A9	Slc16a9
CCDC6	Ccdc6
ANK3	Ank3
CDK1	Cdk1
RHOBTB1	Rhobtb1
TMEM26	Tmem26
ARID5B	Arid5b
RTKN2	Rtkn2
ADO	Ado
EGR2	Egr2
NRBF2	Nrbf2
JMJD1C	Jmjd1c
REEP3	Reep3
CTNNA3	Ctnna3
LRRTM3	Lrrtm3
DNAJC12	Dnajc12
SIRT1	Sirt1
HERC4	Herc4
MYPN	Mypn
ATOH7	Atoh7
HNRNPH3	Hnrnph3
RUFY2	Rufy2
DNA2	Dna2
SLC25A16	Slc25a16
TET1	Tet1
CCAR1	Ccar1
SNORD98	Snord98
STOX1	Stox1
DDX50	Ddx50
DDX21	Ddx21
SRGN	Srgn
VPS26A	Vps26a
SUPV3L1	Supv3l1
HKDC1	Hkdc1
HK1	Hk1
TACR2	Tacr2
TSPAN15	Tspan15
NEUROG3	Neurog3
COL13A1	Col13a1
H2AFY2	H2afy2
AIFM2	Aifm2
TYSND1	Tysnd1
SAR1A	Sar1a
PPA1	Ppa1
NPFFR1	Npffr1
LRRC20	Lrrc20
EIF4EBP2	Eif4ebp2
NODAL	Nodal
PALD1	Pald1
PRF1	Prf1
ADAMTS14	Adamts14
TBATA	Tbata
SGPL1	Sgpl1
PCBD1	Pcbd1
UNC5B	Unc5b
SLC29A3	Slc29a3
CDH23	Cdh23
PSAP	Psap
CHST3	Chst3
SPOCK2	Spock2
ASCC1	Ascc1
ANAPC16	Anapc16
DDIT4	Ddit4
DNAJB12	Dnajb12
MICU1	Micu1
MCU	Mcu
OIT3	Oit3
PLA2G12B	Pla2g12b
P4HA1	P4ha1
NUDT13	Nudt13
ECD	Ecd
DNAJC9	Dnajc9
MRPS16	Mrps16
ANXA7	Anxa7
MSS51	Mss51
PPP3CB	Ppp3cb
USP54	Usp54
MYOZ1	Myoz1
SYNPO2L	Synpo2l
SEC24C	Sec24c
FUT11	Fut11
CHCHD1	Chchd1
ZSWIM8	Zswim8
NDST2	Ndst2
CAMK2G	Camk2g
PLAU	Plau
VCL	Vcl
AP3M1	Ap3m1
ADK	Adk
KAT6B	Kat6b
DUPD1	Dupd1
DUSP13	Dusp13
SAMD8	Samd8
VDAC2	Vdac2
COMTD1	Comtd1
KCNMA1	Kcnma1
DLG5	Dlg5
POLR3A	Polr3a
RPS24	Rps24
ZMIZ1	Zmiz1
PPIF	Ppif
ZCCHC24	Zcchc24
SFTPA1	Sftpa1
SFTPD	Sftpd
ANXA11	Anxa11
MAT1A	Mat1a
DYDC1	Dydc1
DYDC2	Dydc2
FAM213A	Fam213a
TSPAN14	Tspan14
SH2D4B	Sh2d4b
NRG3	Nrg3
GHITM	Ghitm
CDHR1	Cdhr1
LRIT2	Lrit2
LRIT1	Lrit1
RGR	Rgr
CCSER2	Ccser2
GRID1	Grid1
MIR346	Mir346
OPN4	Opn4
LDB3	Ldb3
BMPR1A	Bmpr1a
MMRN2	Mmrn2
SNCG	Sncg
GLUD1	Glud1
FAM35A	Fam35a
MINPP1	Minpp1
PAPSS2	Papss2
ATAD1	Atad1
PTEN	Pten
RNLS	Rnls
LIPF	Lipf
LIPK	Lipk
LIPN	Lipn
LIPM	Lipm
ANKRD22	Ankrd22
STAMBPL1	Stambpl1
ACTA2	Acta2
FAS	Fas
CH25H	Ch25h
LIPA	Lipa
IFIT2	Ifit2
IFIT3	Ifit3
IFIT1	Ifit1
SLC16A12	Slc16a12
PANK1	Pank1
MIR107	Mir107
KIF20B	Kif20b
HTR7	Htr7
RPP30	Rpp30
ANKRD1	Ankrd1
PCGF5	Pcgf5
HECTD2	Hectd2
PPP1R3C	Ppp1r3c
TNKS2	Tnks2
FGFBP3	Fgfbp3
BTAF1	Btaf1
CPEB3	Cpeb3
MARCH5	March5
IDE	Ide
KIF11	Kif11
HHEX	Hhex
EXOC6	Exoc6
CYP26C1	Cyp26c1
CYP26A1	Cyp26a1
MYOF	Myof
CEP55	Cep55
FFAR4	Ffar4
RBP4	Rbp4
PDE6C	Pde6c
FRA10AC1	Fra10ac1
LGI1	Lgi1
SLC35G1	Slc35g1
PLCE1	Plce1
NOC3L	Noc3l
TBC1D12	Tbc1d12
HELLS	Hells
PDLIM1	Pdlim1
SORBS1	Sorbs1
ALDH18A1	Aldh18a1
TCTN3	Tctn3
ENTPD1	Entpd1
CC2D2B	Cc2d2b
CCNJ	Ccnj
BLNK	Blnk
DNTT	Dntt
OPALIN	Opalin
TLL2	Tll2
TM9SF3	Tm9sf3
PIK3AP1	Pik3ap1
LCOR	Lcor
SLIT1	Slit1
ARHGAP19	Arhgap19
FRAT1	Frat1
FRAT2	Frat2
RRP12	Rrp12
PGAM1	Pgam1
EXOSC1	Exosc1
ZDHHC16	Zdhhc16
MMS19	Mms19
UBTD1	Ubtd1
ANKRD2	Ankrd2
HOGA1	Hoga1
PI4K2A	Pi4k2a
MORN4	Morn4
AVPI1	Avpi1
MARVELD1	Marveld1
ZFYVE27	Zfyve27
SFRP5	Sfrp5
GOLGA7B	Golga7b
CRTAC1	Crtac1
R3HCC1L	R3hcc1l
LOXL4	Loxl4
PYROXD2	Pyroxd2
HPS1	Hps1
HPSE2	Hpse2
CNNM1	Cnnm1
GOT1	Got1
NKX2-3	Nkx2-3
SLC25A28	Slc25a28
ENTPD7	Entpd7
CUTC	Cutc
COX15	Cox15
ABCC2	Abcc2
DNMBP	Dnmbp
CPN1	Cpn1
ERLIN1	Erlin1
CHUK	Chuk
CWF19L1	Cwf19l1
BLOC1S2	Bloc1s2
PKD2L1	Pkd2l1
WNT8B	Wnt8b
SEC31B	Sec31b
NDUFB8	Ndufb8
HIF1AN	Hif1an
PAX2	Pax2
MRPL43	Mrpl43
SEMA4G	Sema4g
LZTS2	Lzts2
PDZD7	Pdzd7
SFXN3	Sfxn3
KAZALD1	Kazald1
TLX1	Tlx1
LBX1	Lbx1
BTRC	Btrc
POLL	Poll
FBXW4	Fbxw4
FGF8	Fgf8
NPM3	Npm3
MGEA5	Mgea5
KCNIP2	Kcnip2
HPS6	Hps6
LDB1	Ldb1
PPRC1	Pprc1
NOLC1	Nolc1
ELOVL3	Elovl3
PITX3	Pitx3
GBF1	Gbf1
NFKB2	Nfkb2
PSD	Psd
FBXL15	Fbxl15
CUEDC2	Cuedc2
MIR146B	Mir146b
ACTR1A	Actr1a
SUFU	Sufu
TRIM8	Trim8
ARL3	Arl3
SFXN2	Sfxn2
WBP1L	Wbp1l
CYP17A1	Cyp17a1
AS3MT	As3mt
CNNM2	Cnnm2
NT5C2	Nt5c2
INA	Ina
PCGF6	Pcgf6
TAF5	Taf5
USMG5	Usmg5
PDCD11	Pdcd11
CALHM2	Calhm2
CALHM1	Calhm1
CALHM3	Calhm3
SH3PXD2A	Sh3pxd2a
SLK	Slk
COL17A1	Col17a1
SFR1	Sfr1
GSTO1	Gsto1
GSTO2	Gsto2
SORCS3	Sorcs3
SORCS1	Sorcs1
XPNPEP1	Xpnpep1
ADD3	Add3
MXI1	Mxi1
SMNDC1	Smndc1
DUSP5	Dusp5
SMC3	Smc3
RBM20	Rbm20
PDCD4	Pdcd4
BBIP1	Bbip1
SHOC2	Shoc2
ADRA2A	Adra2a
GPAM	Gpam
TECTB	Tectb
ACSL5	Acsl5
ZDHHC6	Zdhhc6
VTI1A	Vti1a
TCF7L2	Tcf7l2
HABP2	Habp2
NRAP	Nrap
CASP7	Casp7
PLEKHS1	Plekhs1
SNORA17	Snora17
DCLRE1A	Dclre1a
NHLRC2	Nhlrc2
ADRB1	Adrb1
TDRD1	Tdrd1
VWA2	Vwa2
AFAP1L2	Afap1l2
ABLIM1	Ablim1
FAM160B1	Fam160b1
TRUB1	Trub1
ATRNL1	Atrnl1
GFRA1	Gfra1
CCDC172	Ccdc172
PNLIP	Pnlip
PNLIPRP1	Pnliprp1
PNLIPRP2	Pnliprp2
HSPA12A	Hspa12a
ENO4	Eno4
VAX1	Vax1
KCNK18	Kcnk18
SLC18A2	Slc18a2
PDZD8	Pdzd8
EMX2OS	Emx2os
EMX2	Emx2
RAB11FIP2	Rab11fip2
FAM204A	Fam204a
PRLHR	Prlhr
CACUL1	Cacul1
NANOS1	Nanos1
EIF3A	Eif3a
FAM45A	Fam45a
SFXN4	Sfxn4
PRDX3	Prdx3
GRK5	Grk5
RGS10	Rgs10
TIAL1	Tial1
BAG3	Bag3
INPP5F	Inpp5f
MCMBP	Mcmbp
SEC23IP	Sec23ip
WDR11	Wdr11
FGFR2	Fgfr2
ATE1	Ate1
NSMCE4A	Nsmce4a
TACC2	Tacc2
BTBD16	Btbd16
PLEKHA1	Plekha1
HTRA1	Htra1
DMBT1	Dmbt1
CUZD1	Cuzd1
FAM24B	Fam24b
FAM24A	Fam24a
PSTK	Pstk
IKZF5	Ikzf5
ACADSB	Acadsb
HMX3	Hmx3
HMX2	Hmx2
BUB3	Bub3
GPR26	Gpr26
CPXM2	Cpxm2
CHST15	Chst15
OAT	Oat
NKX1-2	Nkx1-2
LHPP	Lhpp
FAM53B	Fam53b
ZRANB1	Zranb1
CTBP2	Ctbp2
TEX36	Tex36
EDRF1	Edrf1
MMP21	Mmp21
UROS	Uros
BCCIP	Bccip
DHX32	Dhx32
FANK1	Fank1
ADAM12	Adam12
DOCK1	Dock1
FAM196A	Fam196a
NPS	Nps
FOXI2	Foxi2
CLRN3	Clrn3
PTPRE	Ptpre
MKI67	Mki67
MGMT	Mgmt
EBF3	Ebf3
GLRX3	Glrx3
MIR378C	Mir378c
TCERG1L	Tcerg1l
PPP2R2D	Ppp2r2d
BNIP3	Bnip3
JAKMIP3	Jakmip3
DPYSL4	Dpysl4
STK32C	Stk32c
LRRC27	Lrrc27
PWWP2B	Pwwp2b
INPP5A	Inpp5a
NKX6-2	Nkx6-2
KNDC1	Kndc1
UTF1	Utf1
ADAM8	Adam8
TUBGCP2	Tubgcp2
CALY	Caly
PRAP1	Prap1
FUOM	Fuom
ECHS1	Echs1
PAOX	Paox
MTG1	Mtg1
SPRN	Sprn
CYP2E1	Cyp2e1
SYCE1	Syce1
BET1L	Bet1l
SCGB1C1	Scgb1c1
ODF3	Odf3
RIC8A	Ric8a
SIRT3	Sirt3
PSMD13	Psmd13
NLRP6	Nlrp6
IFITM5	Ifitm5
IFITM2	Ifitm2
IFITM1	Ifitm1
IFITM3	Ifitm3
B4GALNT4	B4galnt4
PKP3	Pkp3
SIGIRR	Sigirr
ANO9	Ano9
PTDSS2	Ptdss2
RNH1	Rnh1
HRAS	Hras
LRRC56	Lrrc56
RASSF7	Rassf7
MIR210	Mir210
PHRF1	Phrf1
IRF7	Irf7
CDHR5	Cdhr5
SCT	Sct
DRD4	Drd4
DEAF1	Deaf1
EPS8L2	Eps8l2
TMEM80	Tmem80
TALDO1	Taldo1
CEND1	Cend1
SLC25A22	Slc25a22
RPLP2	Rplp2
SNORA52	Snora52
PNPLA2	Pnpla2
CD151	Cd151
POLR2L	Polr2l
TSPAN4	Tspan4
CHID1	Chid1
AP2A2	Ap2a2
MUC6	Muc6
MUC2	Muc2
MUC5AC	Muc5ac
MUC5B	Muc5b
TOLLIP	Tollip
BRSK2	Brsk2
MOB2	Mob2
DUSP8	Dusp8
KRTAP5-1	Krtap5-1
KRTAP5-2	Krtap5-2
KRTAP5-3	Krtap5-3
KRTAP5-4	Krtap5-4
KRTAP5-5	Krtap5-5
IFITM10	Ifitm10
CTSD	Ctsd
SYT8	Syt8
TNNI2	Tnni2
LSP1	Lsp1
TNNT3	Tnnt3
MRPL23	Mrpl23
H19	H19
IGF2	Igf2
MIR483	Mir483
TH	Th
ASCL2	Ascl2
TSPAN32	Tspan32
CD81	Cd81
TSSC4	Tssc4
TRPM5	Trpm5
KCNQ1	Kcnq1
KCNQ1OT1	Kcnq1ot1
CDKN1C	Cdkn1c
SLC22A18	Slc22a18
PHLDA2	Phlda2
NAP1L4	Nap1l4
CARS	Cars
OSBPL5	Osbpl5
MRGPRG	Mrgprg
MRGPRE	Mrgpre
TRPC2	Trpc2
ART5	Art5
ART1	Art1
CHRNA10	Chrna10
NUP98	Nup98
PGAP2	Pgap2
RHOG	Rhog
STIM1	Stim1
RRM1	Rrm1
TRIM21	Trim21
TRIM68	Trim68
UBQLN3	Ubqln3
UBQLNL	Ubqlnl
TRIM6	Trim6
TRIM5	Trim5
